host,port,protocol,source
104.219.236.127,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
107.219.228.250,7777,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
110.235.247.248,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
110.235.248.81,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
110.235.255.252,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
121.169.46.116,1090,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
124.248.191.117,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
174.138.61.184,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
185.194.217.97,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
194.163.182.6,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
202.62.49.65,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
202.62.50.222,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
202.62.55.95,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
203.25.208.163,1100,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
203.25.208.163,1145,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
34.124.190.108,8080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
47.236.20.209,1145,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
5.255.113.177,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
5.255.117.127,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
5.255.117.250,1080,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
59.46.216.131,30001,socks5,https://raw.githubusercontent.com/vakhov/fresh-proxy-list/refs/heads/master/socks5.txt
